timestamp_s,elapsed_s,lc_raw,lc_mv,enc_deg,enc_rev,enc_rpm
1778139761.9874,1.5026,-322,-0.0015,0.0,0.000,0
1778139761.9958,1.5110,-729,-0.0034,0.0,0.000,0
1778139762.0077,1.5229,-1588,-0.0074,0.0,0.000,0
1778139762.0161,1.5313,-45,-0.0002,0.0,0.000,0
1778139762.0279,1.5430,-1488,-0.0069,0.0,0.000,0
1778139762.0367,1.5519,-818,-0.0038,0.0,0.000,0
1778139762.0486,1.5638,-220,-0.0010,0.0,0.000,0
1778139762.0570,1.5721,-1458,-0.0068,0.0,0.000,0
1778139762.0653,1.5805,-118,-0.0005,0.0,0.000,0
1778139762.0772,1.5923,-1319,-0.0061,0.0,0.000,0
1778139762.0854,1.6006,-739,-0.0034,0.0,0.000,0
1778139762.0979,1.6131,-336,-0.0016,0.0,0.000,0
1778139762.1062,1.6214,-1561,-0.0073,0.0,0.000,0
1778139762.1179,1.6331,-98,-0.0005,0.0,0.000,0
1778139762.1265,1.6417,-1450,-0.0068,0.0,0.000,0
1778139762.1386,1.6538,-620,-0.0029,0.0,0.000,0
1778139762.1474,1.6626,-321,-0.0015,0.0,0.000,0
1778139762.1589,1.6741,-1555,-0.0072,0.0,0.000,0
1778139762.1672,1.6824,-195,-0.0009,0.0,0.000,0
1778139762.1761,1.6912,-1526,-0.0071,0.0,0.000,0
1778139762.1877,1.7029,-803,-0.0037,0.0,0.000,0
1778139762.1961,1.7113,-683,-0.0032,0.0,0.000,0
1778139762.2081,1.7233,-1519,-0.0071,0.0,0.000,0
1778139762.2169,1.7321,-72,-0.0003,0.0,0.000,0
1778139762.2284,1.7436,-1490,-0.0069,0.0,0.000,0
1778139762.2369,1.7521,-469,-0.0022,0.0,0.000,0
1778139762.2457,1.7609,-666,-0.0031,0.0,0.000,0
1778139762.2576,1.7728,-1571,-0.0073,0.0,0.000,0
1778139762.2661,1.7813,-176,-0.0008,0.0,0.000,0
1778139762.2781,1.7933,-1150,-0.0054,0.0,0.000,0
1778139762.2862,1.8014,-501,-0.0023,0.0,0.000,0
