timestamp_s,elapsed_s,lc_raw,lc_mv,enc_deg,enc_rev,enc_rpm
1778138977.6796,1.5029,-411,-0.0019,0.0,0.000,0
1778138977.6879,1.5113,-99,-0.0005,0.0,0.000,0
1778138977.6999,1.5233,-1406,-0.0065,0.0,0.000,0
1778138977.7086,1.5319,47,0.0002,0.0,0.000,0
1778138977.7169,1.5402,-1012,-0.0047,0.0,0.000,0
1778138977.7289,1.5522,-791,-0.0037,0.0,0.000,0
1778138977.7372,1.5606,74,0.0003,0.0,0.000,0
1778138977.7494,1.5727,-1344,-0.0063,0.0,0.000,0
1778138977.7579,1.5812,182,0.0008,0.0,0.000,0
1778138977.7697,1.5930,-1026,-0.0048,0.0,0.000,0
1778138977.7783,1.6016,-727,-0.0034,0.0,0.000,0
1778138977.7902,1.6136,6,0.0000,0.0,0.000,0
1778138977.7987,1.6221,-1245,-0.0058,0.0,0.000,0
1778138977.8074,1.6307,221,0.0010,0.0,0.000,0
1778138977.8190,1.6424,-926,-0.0043,0.0,0.000,0
1778138977.8280,1.6514,-716,-0.0033,0.0,0.000,0
1778138977.8396,1.6630,60,0.0003,0.0,0.000,0
1778138977.8481,1.6715,-1328,-0.0062,0.0,0.000,0
1778138977.8565,1.6798,84,0.0004,0.0,0.000,0
1778138977.8683,1.6916,-1005,-0.0047,0.0,0.000,0
1778138977.8771,1.7004,-692,-0.0032,0.0,0.000,0
1778138977.8887,1.7121,-74,-0.0003,0.0,0.000,0
1778138977.8975,1.7208,-1320,-0.0061,0.0,0.000,0
1778138977.9093,1.7326,145,0.0007,0.0,0.000,0
1778138977.9178,1.7411,-1108,-0.0052,0.0,0.000,0
1778138977.9262,1.7496,-472,-0.0022,0.0,0.000,0
1778138977.9381,1.7615,-40,-0.0002,0.0,0.000,0
1778138977.9498,1.7732,-1222,-0.0057,0.0,0.000,0
1778138977.9585,1.7819,40,0.0002,0.0,0.000,0
1778138977.9703,1.7937,-739,-0.0034,0.0,0.000,0
1778138977.9786,1.8019,-446,-0.0021,0.0,0.000,0
1778138977.9871,1.8105,-45,-0.0002,0.0,0.000,0
1778138977.9993,1.8226,-1299,-0.0060,0.0,0.000,0
1778138978.0080,1.8314,0,0.0000,0.0,0.000,0
1778138978.0195,1.8429,-1051,-0.0049,0.0,0.000,0
1778138978.0282,1.8516,-649,-0.0030,0.0,0.000,0
1778138978.0363,1.8597,-115,-0.0005,0.0,0.000,0
1778138978.0486,1.8720,-1209,-0.0056,0.0,0.000,0
1778138978.0572,1.8805,211,0.0010,0.0,0.000,0
1778138978.0689,1.8923,-951,-0.0044,0.0,0.000,0
1778138978.0778,1.9011,-599,-0.0028,0.0,0.000,0
1778138978.0895,1.9128,96,0.0004,0.0,0.000,0
1778138978.0980,1.9214,-1336,-0.0062,0.0,0.000,0
1778138978.1098,1.9332,133,0.0006,0.0,0.000,0
1778138978.1186,1.9419,-725,-0.0034,0.0,0.000,0
1778138978.1304,1.9538,-1133,-0.0053,0.0,0.000,0
1778138978.1388,1.9622,46,0.0002,0.0,0.000,0
1778138978.1474,1.9708,-1338,-0.0062,0.0,0.000,0
1778138978.1589,1.9823,54,0.0003,0.0,0.000,0
