timestamp_s,elapsed_s,lc_raw,lc_mv,enc_deg,enc_rev,enc_rpm
1778138409.9765,1.5030,-1270,-0.0059,0.0,0.000,0
1778138409.9849,1.5114,-1321,-0.0062,0.0,0.000,0
1778138409.9968,1.5233,-496,-0.0023,0.0,0.000,0
1778138410.0053,1.5318,-1814,-0.0084,0.0,0.000,0
1778138410.0135,1.5400,-743,-0.0035,0.0,0.000,0
1778138410.0258,1.5523,-1203,-0.0056,0.0,0.000,0
1778138410.0377,1.5642,-1613,-0.0075,0.0,0.000,0
1778138410.0461,1.5726,-445,-0.0021,0.0,0.000,0
1778138410.0545,1.5811,-1863,-0.0087,0.0,0.000,0
1778138410.0665,1.5930,-533,-0.0025,0.0,0.000,0
1778138410.0752,1.6017,-1188,-0.0055,0.0,0.000,0
1778138410.0871,1.6136,-1753,-0.0082,0.0,0.000,0
1778138410.0958,1.6223,-512,-0.0024,0.0,0.000,0
1778138410.1042,1.6307,-1890,-0.0088,0.0,0.000,0
1778138410.1161,1.6426,-622,-0.0029,0.0,0.000,0
1778138410.1247,1.6512,-1205,-0.0056,0.0,0.000,0
1778138410.1367,1.6632,-1632,-0.0076,0.0,0.000,0
1778138410.1450,1.6715,-404,-0.0019,0.0,0.000,0
1778138410.1566,1.6832,-1871,-0.0087,0.0,0.000,0
1778138410.1653,1.6918,-669,-0.0031,0.0,0.000,0
1778138410.1772,1.7037,-1189,-0.0055,0.0,0.000,0
1778138410.1858,1.7123,-1508,-0.0070,0.0,0.000,0
1778138410.1942,1.7207,-374,-0.0017,0.0,0.000,0
1778138410.2064,1.7329,-1820,-0.0085,0.0,0.000,0
1778138410.2144,1.7409,-631,-0.0029,0.0,0.000,0
1778138410.2261,1.7526,-1414,-0.0066,0.0,0.000,0
1778138410.2348,1.7613,-1422,-0.0066,0.0,0.000,0
1778138410.2468,1.7733,-620,-0.0029,0.0,0.000,0
1778138410.2558,1.7823,-1748,-0.0081,0.0,0.000,0
1778138410.2674,1.7939,-833,-0.0039,0.0,0.000,0
1778138410.2756,1.8021,-1352,-0.0063,0.0,0.000,0
1778138410.2843,1.8108,-1496,-0.0070,0.0,0.000,0
1778138410.2962,1.8227,-493,-0.0023,0.0,0.000,0
1778138410.3049,1.8314,-1787,-0.0083,0.0,0.000,0
1778138410.3165,1.8430,-544,-0.0025,0.0,0.000,0
1778138410.3254,1.8519,-1094,-0.0051,0.0,0.000,0
1778138410.3367,1.8632,-1417,-0.0066,0.0,0.000,0
1778138410.3455,1.8721,-530,-0.0025,0.0,0.000,0
1778138410.3541,1.8806,-1871,-0.0087,0.0,0.000,0
1778138410.3659,1.8924,-654,-0.0030,0.0,0.000,0
1778138410.3745,1.9010,-1307,-0.0061,0.0,0.000,0
1778138410.3863,1.9128,-1661,-0.0077,0.0,0.000,0
1778138410.3947,1.9212,-456,-0.0021,0.0,0.000,0
1778138410.4067,1.9333,-1784,-0.0083,0.0,0.000,0
1778138410.4153,1.9418,-948,-0.0044,0.0,0.000,0
1778138410.4273,1.9538,-850,-0.0040,0.0,0.000,0
1778138410.4361,1.9626,-1809,-0.0084,0.0,0.000,0
1778138410.4473,1.9738,-468,-0.0022,0.0,0.000,0
1778138410.4562,1.9827,-1701,-0.0079,0.0,0.000,0
1778138410.4681,1.9946,-838,-0.0039,0.0,0.000,0
1778138410.4767,2.0032,-791,-0.0037,0.0,0.000,0
1778138410.4847,2.0112,-1788,-0.0083,0.0,0.000,0
1778138410.4969,2.0234,-362,-0.0017,0.0,0.000,0
1778138410.5057,2.0322,-1824,-0.0085,0.0,0.000,0
1778138410.5173,2.0438,-928,-0.0043,0.0,0.000,0
1778138410.5257,2.0522,-1167,-0.0054,0.0,0.000,0
1778138410.5377,2.0642,-1719,-0.0080,0.0,0.000,0
1778138410.5461,2.0726,-359,-0.0017,0.0,0.000,0
1778138410.5581,2.0846,-1552,-0.0072,0.0,0.000,0
1778138410.5666,2.0931,-676,-0.0031,0.0,0.000,0
1778138410.5754,2.1019,-1146,-0.0053,0.0,0.000,0
1778138410.5869,2.1134,-1688,-0.0079,0.0,0.000,0
1778138410.5957,2.1222,-346,-0.0016,0.0,0.000,0
1778138410.6076,2.1341,-1670,-0.0078,0.0,0.000,0
1778138410.6162,2.1427,-1016,-0.0047,0.0,0.000,0
1778138410.6275,2.1540,-1069,-0.0050,0.0,0.000,0
1778138410.6362,2.1627,-1642,-0.0076,0.0,0.000,0
1778138410.6481,2.1746,-367,-0.0017,0.0,0.000,0
1778138410.6566,2.1831,-1893,-0.0088,0.0,0.000,0
1778138410.6652,2.1917,-845,-0.0039,0.0,0.000,0
1778138410.6770,2.2035,-1196,-0.0056,0.0,0.000,0
1778138410.6858,2.2123,-1758,-0.0082,0.0,0.000,0
1778138410.6972,2.2237,-537,-0.0025,0.0,0.000,0
1778138410.7060,2.2325,-1787,-0.0083,0.0,0.000,0
1778138410.7179,2.2444,-895,-0.0042,0.0,0.000,0
1778138410.7266,2.2531,-707,-0.0033,0.0,0.000,0
1778138410.7347,2.2612,-1693,-0.0079,0.0,0.000,0
1778138410.7469,2.2734,-453,-0.0021,0.0,0.000,0
1778138410.7587,2.2852,-1562,-0.0073,0.0,0.000,0
1778138410.7676,2.2941,-1121,-0.0052,0.0,0.000,0
1778138410.7792,2.3057,-524,-0.0024,0.0,0.000,0
1778138410.7878,2.3143,-1825,-0.0085,0.0,0.000,0
1778138410.7962,2.3228,-351,-0.0016,0.0,0.000,0
1778138410.8081,2.3346,-1673,-0.0078,0.0,0.000,0
