timestamp_s,elapsed_s,lc_raw,lc_mv,enc_deg,enc_rev,enc_rpm
1778139382.0525,1.5037,518,0.0024,0.0,0.000,0
1778139382.0610,1.5121,-583,-0.0027,0.0,0.000,0
1778139382.0727,1.5239,741,0.0035,0.0,0.000,0
1778139382.0813,1.5325,-165,-0.0008,0.0,0.000,0
1778139382.0930,1.5441,123,0.0006,0.0,0.000,0
1778139382.1017,1.5529,744,0.0035,0.0,0.000,0
1778139382.1136,1.5647,-602,-0.0028,0.0,0.000,0
1778139382.1221,1.5733,907,0.0042,0.0,0.000,0
1778139382.1304,1.5816,-526,-0.0024,0.0,0.000,0
1778139382.1423,1.5934,52,0.0002,0.0,0.000,0
1778139382.1508,1.6020,609,0.0028,0.0,0.000,0
1778139382.1630,1.6141,-656,-0.0031,0.0,0.000,0
1778139382.1715,1.6226,738,0.0034,0.0,0.000,0
1778139382.1829,1.6341,-588,-0.0027,0.0,0.000,0
1778139382.1917,1.6429,170,0.0008,0.0,0.000,0
1778139382.2035,1.6547,668,0.0031,0.0,0.000,0
1778139382.2124,1.6635,-672,-0.0031,0.0,0.000,0
1778139382.2206,1.6717,853,0.0040,0.0,0.000,0
1778139382.2323,1.6835,-498,-0.0023,0.0,0.000,0
1778139382.2411,1.6923,170,0.0008,0.0,0.000,0
1778139382.2529,1.7040,676,0.0031,0.0,0.000,0
1778139382.2614,1.7126,-504,-0.0023,0.0,0.000,0
1778139382.2734,1.7245,772,0.0036,0.0,0.000,0
1778139382.2820,1.7332,-223,-0.0010,0.0,0.000,0
1778139382.2903,1.7414,60,0.0003,0.0,0.000,0
1778139382.3020,1.7532,367,0.0017,0.0,0.000,0
1778139382.3108,1.7619,-505,-0.0024,0.0,0.000,0
1778139382.3227,1.7738,857,0.0040,0.0,0.000,0
1778139382.3312,1.7823,-252,-0.0012,0.0,0.000,0
1778139382.3432,1.7944,-96,-0.0004,0.0,0.000,0
1778139382.3513,1.8025,359,0.0017,0.0,0.000,0
1778139382.3632,1.8143,-522,-0.0024,0.0,0.000,0
1778139382.3718,1.8229,814,0.0038,0.0,0.000,0
1778139382.3837,1.8349,-74,-0.0003,0.0,0.000,0
1778139382.3923,1.8434,109,0.0005,0.0,0.000,0
1778139382.4008,1.8519,660,0.0031,0.0,0.000,0
1778139382.4125,1.8637,-564,-0.0026,0.0,0.000,0
1778139382.4210,1.8722,876,0.0041,0.0,0.000,0
1778139382.4329,1.8840,-435,-0.0020,0.0,0.000,0
1778139382.4416,1.8928,157,0.0007,0.0,0.000,0
1778139382.4535,1.9047,590,0.0027,0.0,0.000,0
1778139382.4620,1.9131,-532,-0.0025,0.0,0.000,0
1778139382.4704,1.9216,812,0.0038,0.0,0.000,0
1778139382.4822,1.9334,-469,-0.0022,0.0,0.000,0
1778139382.4910,1.9421,206,0.0010,0.0,0.000,0
1778139382.5028,1.9539,728,0.0034,0.0,0.000,0
1778139382.5116,1.9627,-697,-0.0032,0.0,0.000,0
1778139382.5195,1.9707,861,0.0040,0.0,0.000,0
1778139382.5316,1.9828,-447,-0.0021,0.0,0.000,0
1778139382.5433,1.9945,117,0.0005,0.0,0.000,0
1778139382.5521,2.0033,688,0.0032,0.0,0.000,0
1778139382.5607,2.0119,-453,-0.0021,0.0,0.000,0
1778139382.5724,2.0235,867,0.0040,0.0,0.000,0
1778139382.5810,2.0322,-528,-0.0025,0.0,0.000,0
1778139382.5927,2.0439,108,0.0005,0.0,0.000,0
1778139382.6012,2.0524,232,0.0011,0.0,0.000,0
1778139382.6131,2.0642,-558,-0.0026,0.0,0.000,0
1778139382.6217,2.0729,868,0.0040,0.0,0.000,0
1778139382.6337,2.0848,-216,-0.0010,0.0,0.000,0
1778139382.6423,2.0934,60,0.0003,0.0,0.000,0
1778139382.6506,2.1018,626,0.0029,0.0,0.000,0
