timestamp_s,elapsed_s,lc_raw,lc_mv,enc_deg,enc_rev,enc_rpm
1778138137.1172,1.9302,-360,-0.0017,0.0,0.000,0
1778138137.1257,1.9386,25,0.0001,0.0,0.000,0
1778138137.1377,1.9506,-1123,-0.0052,0.0,0.000,0
1778138137.1461,1.9590,245,0.0011,0.0,0.000,0
1778138137.1543,1.9672,-1063,-0.0049,0.0,0.000,0
1778138137.1664,1.9794,-402,-0.0019,0.0,0.000,0
1778138137.1749,1.9879,151,0.0007,0.0,0.000,0
1778138137.1870,2.0000,-1185,-0.0055,0.0,0.000,0
1778138137.1953,2.0083,352,0.0016,0.0,0.000,0
1778138137.2072,2.0202,-1149,-0.0054,0.0,0.000,0
1778138137.2157,2.0287,-410,-0.0019,0.0,0.000,0
1778138137.2277,2.0406,12,0.0001,0.0,0.000,0
1778138137.2361,2.0490,-1164,-0.0054,0.0,0.000,0
1778138137.2444,2.0573,216,0.0010,0.0,0.000,0
1778138137.2566,2.0696,-771,-0.0036,0.0,0.000,0
1778138137.2649,2.0779,-352,-0.0016,0.0,0.000,0
1778138137.2770,2.0900,25,0.0001,0.0,0.000,0
1778138137.2854,2.0983,-1057,-0.0049,0.0,0.000,0
1778138137.2974,2.1103,240,0.0011,0.0,0.000,0
1778138137.3059,2.1189,-854,-0.0040,0.0,0.000,0
1778138137.3178,2.1308,-396,-0.0018,0.0,0.000,0
1778138137.3262,2.1391,-307,-0.0014,0.0,0.000,0
1778138137.3348,2.1478,-1192,-0.0056,0.0,0.000,0
1778138137.3469,2.1599,274,0.0013,0.0,0.000,0
1778138137.3555,2.1685,-845,-0.0039,0.0,0.000,0
1778138137.3672,2.1802,-429,-0.0020,0.0,0.000,0
1778138137.3757,2.1887,-396,-0.0018,0.0,0.000,0
1778138137.3876,2.2005,-1077,-0.0050,0.0,0.000,0
1778138137.3963,2.2092,304,0.0014,0.0,0.000,0
1778138137.4082,2.2211,-806,-0.0038,0.0,0.000,0
1778138137.4167,2.2297,-585,-0.0027,0.0,0.000,0
1778138137.4287,2.2416,213,0.0010,0.0,0.000,0
1778138137.4373,2.2502,-1129,-0.0053,0.0,0.000,0
1778138137.4489,2.2619,166,0.0008,0.0,0.000,0
1778138137.4574,2.2703,-782,-0.0036,0.0,0.000,0
1778138137.4658,2.2787,-595,-0.0028,0.0,0.000,0
1778138137.4777,2.2907,233,0.0011,0.0,0.000,0
1778138137.4897,2.3027,-1148,-0.0053,0.0,0.000,0
1778138137.4942,2.3072,305,0.0014,0.0,0.000,0
1778138137.5065,2.3195,-805,-0.0037,0.0,0.000,0
1778138137.5186,2.3315,-492,-0.0023,0.0,0.000,0
1778138137.5271,2.3400,201,0.0009,0.0,0.000,0
1778138137.5354,2.3483,-1125,-0.0052,0.0,0.000,0
1778138137.5474,2.3604,180,0.0008,0.0,0.000,0
1778138137.5559,2.3688,-906,-0.0042,0.0,0.000,0
1778138137.5679,2.3808,-583,-0.0027,0.0,0.000,0
1778138137.5763,2.3893,180,0.0008,0.0,0.000,0
1778138137.5884,2.4014,-1127,-0.0052,0.0,0.000,0
1778138137.5969,2.4098,-99,-0.0005,0.0,0.000,0
1778138137.6088,2.4217,-743,-0.0035,0.0,0.000,0
1778138137.6173,2.4302,-1000,-0.0047,0.0,0.000,0
1778138137.6291,2.4420,240,0.0011,0.0,0.000,0
1778138137.6376,2.4505,-1205,-0.0056,0.0,0.000,0
1778138137.6497,2.4626,-104,-0.0005,0.0,0.000,0
1778138137.6580,2.4710,-389,-0.0018,0.0,0.000,0
1778138137.6664,2.4793,-623,-0.0029,0.0,0.000,0
1778138137.6784,2.4913,40,0.0002,0.0,0.000,0
1778138137.6868,2.4998,-1213,-0.0056,0.0,0.000,0
1778138137.6990,2.5119,5,0.0000,0.0,0.000,0
1778138137.7073,2.5202,-613,-0.0029,0.0,0.000,0
1778138137.7194,2.5323,-992,-0.0046,0.0,0.000,0
1778138137.7277,2.5407,-51,-0.0002,0.0,0.000,0
1778138137.7397,2.5527,-1332,-0.0062,0.0,0.000,0
1778138137.7481,2.5610,160,0.0007,0.0,0.000,0
1778138137.7566,2.5695,-651,-0.0030,0.0,0.000,0
1778138137.7687,2.5816,-967,-0.0045,0.0,0.000,0
1778138137.7771,2.5900,221,0.0010,0.0,0.000,0
1778138137.7890,2.6020,-1296,-0.0060,0.0,0.000,0
1778138137.7973,2.6103,50,0.0002,0.0,0.000,0
1778138137.8095,2.6225,-570,-0.0027,0.0,0.000,0
1778138137.8181,2.6310,-951,-0.0044,0.0,0.000,0
1778138137.8302,2.6432,196,0.0009,0.0,0.000,0
1778138137.8383,2.6513,-1252,-0.0058,0.0,0.000,0
1778138137.8475,2.6605,176,0.0008,0.0,0.000,0
1778138137.8586,2.6716,-735,-0.0034,0.0,0.000,0
1778138137.8674,2.6803,-923,-0.0043,0.0,0.000,0
1778138137.8790,2.6920,141,0.0007,0.0,0.000,0
1778138137.8876,2.7005,-1201,-0.0056,0.0,0.000,0
1778138137.8959,2.7088,128,0.0006,0.0,0.000,0
1778138137.9078,2.7208,-634,-0.0030,0.0,0.000,0
1778138137.9200,2.7329,-957,-0.0045,0.0,0.000,0
1778138137.9285,2.7415,205,0.0010,0.0,0.000,0
1778138137.9404,2.7534,-1171,-0.0055,0.0,0.000,0
1778138137.9492,2.7621,-284,-0.0013,0.0,0.000,0
1778138137.9573,2.7703,-347,-0.0016,0.0,0.000,0
1778138137.9693,2.7822,-887,-0.0041,0.0,0.000,0
1778138137.9778,2.7908,108,0.0005,0.0,0.000,0
1778138137.9898,2.8027,-1079,-0.0050,0.0,0.000,0
1778138137.9983,2.8112,-244,-0.0011,0.0,0.000,0
1778138138.0102,2.8231,-456,-0.0021,0.0,0.000,0
1778138138.0186,2.8315,-952,-0.0044,0.0,0.000,0
