timestamp_s,elapsed_s,lc_raw,lc_mv,enc_deg,enc_rev,enc_rpm
1778140120.3040,1.5011,-211,-0.0010,0.0,0.000,0
1778140120.3152,1.5123,874,0.0041,0.0,0.000,0
1778140120.3243,1.5214,428,0.0020,0.0,0.000,0
1778140120.3357,1.5328,-156,-0.0007,0.0,0.000,0
1778140120.3444,1.5415,1104,0.0051,0.0,0.000,0
1778140120.3560,1.5531,-364,-0.0017,0.0,0.000,0
1778140120.3649,1.5620,603,0.0028,0.0,0.000,0
1778140120.3729,1.5700,448,0.0021,0.0,0.000,0
1778140120.3848,1.5819,46,0.0002,0.0,0.000,0
1778140120.4039,1.6010,1069,0.0050,0.0,0.000,0
1778140120.4055,1.6026,-283,-0.0013,0.0,0.000,0
1778140120.4137,1.6108,540,0.0025,0.0,0.000,0
1778140120.4257,1.6228,249,0.0012,0.0,0.000,0
1778140120.4342,1.6313,101,0.0005,0.0,0.000,0
1778140120.4431,1.6402,976,0.0045,0.0,0.000,0
1778140120.4549,1.6520,-320,-0.0015,0.0,0.000,0
1778140120.4666,1.6637,611,0.0028,0.0,0.000,0
1778140120.4751,1.6722,458,0.0021,0.0,0.000,0
1778140120.4836,1.6807,51,0.0002,0.0,0.000,0
1778140120.4954,1.6925,1085,0.0051,0.0,0.000,0
1778140120.5042,1.7013,-339,-0.0016,0.0,0.000,0
1778140120.5124,1.7095,944,0.0044,0.0,0.000,0
1778140120.5246,1.7217,312,0.0015,0.0,0.000,0
1778140120.5363,1.7334,-93,-0.0004,0.0,0.000,0
1778140120.5448,1.7419,1107,0.0052,0.0,0.000,0
1778140120.5533,1.7504,-395,-0.0018,0.0,0.000,0
1778140120.5651,1.7622,832,0.0039,0.0,0.000,0
1778140120.5739,1.7710,482,0.0022,0.0,0.000,0
1778140120.5857,1.7828,-223,-0.0010,0.0,0.000,0
1778140120.5944,1.7915,1210,0.0056,0.0,0.000,0
1778140120.6025,1.7996,-472,-0.0022,0.0,0.000,0
1778140120.6145,1.8116,931,0.0043,0.0,0.000,0
1778140120.6229,1.8200,354,0.0016,0.0,0.000,0
1778140120.6352,1.8323,-235,-0.0011,0.0,0.000,0
1778140120.6435,1.8406,1078,0.0050,0.0,0.000,0
1778140120.6554,1.8525,-276,-0.0013,0.0,0.000,0
